,densite
2002-04-03,10368.0
2002-04-04,7509.0
2002-04-05,7516.0
2002-04-06,9163.0
2002-04-07,6163.0
2002-04-08,6165.0
2002-04-09,7888.0
2002-04-10,6875.0
2002-04-11,4082.0
2002-04-12,5788.0
2002-04-13,3306.0
2002-04-14,3328.0
2002-04-15,3355.0
2002-04-16,3382.0
2002-04-17,3399.0
2002-04-18,3411.0
2002-04-19,3428.0
2002-04-20,3435.0
2002-04-21,3446.0
2002-04-22,3469.0
2002-04-23,3481.0
2002-04-24,3491.0
2002-04-25,3499.0
2002-04-26,3512.0
2002-04-27,3523.0
2002-04-28,3531.0
2002-04-29,3541.0
2002-04-30,3547.0
2002-05-01,3547.0
2002-05-02,5238.0
2002-05-03,5334.0
2002-05-04,3587.0
2002-05-05,3590.0
2002-05-06,5557.0
2002-05-07,3414.0
2002-05-08,3414.0
2002-05-09,5297.0
2002-05-10,5088.0
2002-05-11,3066.0
2002-05-12,4903.0
2002-05-13,2877.0
2002-05-14,2877.0
2002-05-15,2881.0
2002-05-16,2884.0
2002-05-17,2884.0
2002-05-18,2886.0
2002-05-19,2887.0
2002-05-20,2888.0
2002-05-21,2891.0
2002-05-22,2893.0
2002-05-23,2897.0
2002-05-24,2898.0
2002-05-25,2902.0
2002-05-26,2906.0
2002-05-27,2907.0
2002-05-28,2910.0
2002-05-29,2913.0
2002-05-30,2915.0
2002-05-31,2917.0
2002-06-01,2917.0
2002-06-02,5113.0
2002-06-03,5619.0
2002-06-04,3999.0
2002-06-05,4008.0
2002-06-06,6473.0
2002-06-07,4503.0
2002-06-08,4503.0
2002-06-09,6895.0
2002-06-10,7035.0
2002-06-11,5218.0
2002-06-12,7620.0
2002-06-13,7991.0
2002-06-14,9427.0
2002-06-15,10588.0
2002-06-16,11085.0
2002-06-17,11924.0
2002-06-18,12582.0
2002-06-19,13194.0
2002-06-20,13376.0
2002-06-21,13620.0
2002-06-22,13714.0
2002-06-23,13400.0
2002-06-24,13537.0
2002-06-25,13600.0
2002-06-26,13854.0
2002-06-27,13773.0
2002-06-28,13673.0
2002-06-29,13651.0
2002-06-30,13481.0
2002-07-01,11342.0
2002-07-02,12910.0
2002-07-03,10746.0
2002-07-04,7637.0
2002-07-05,7637.0
2002-07-06,9273.0
2002-07-07,6243.0
2002-07-08,6250.0
2002-07-09,7765.0
2002-07-10,6411.0
2002-07-11,3521.0
2002-07-12,5049.0
2002-07-13,2526.0
2002-07-14,2545.0
2002-07-15,2566.0
2002-07-16,2583.0
2002-07-17,2599.0
2002-07-18,2613.0
2002-07-19,2625.0
2002-07-20,2642.0
2002-07-21,2662.0
2002-07-22,2676.0
2002-07-23,2689.0
2002-07-24,2706.0
2002-07-25,2715.0
2002-07-26,2722.0
2002-07-27,2730.0
2002-07-28,2735.0
2002-07-29,2744.0
2002-07-30,2752.0
2002-07-31,2759.0
2002-08-01,2759.0
2002-08-02,4540.0
2002-08-03,4681.0
2002-08-04,3037.0
2002-08-05,3037.0
2002-08-06,4782.0
2002-08-07,3154.0
2002-08-08,3156.0
2002-08-09,4704.0
2002-08-10,4713.0
2002-08-11,2739.0
2002-08-12,4320.0
2002-08-13,2617.0
2002-08-14,2619.0
2002-08-15,2623.0
2002-08-16,2625.0
2002-08-17,2625.0
2002-08-18,2627.0
2002-08-19,2627.0
2002-08-20,2628.0
2002-08-21,2632.0
2002-08-22,2634.0
2002-08-23,2635.0
2002-08-24,2637.0
2002-08-25,2639.0
2002-08-26,2640.0
2002-08-27,2642.0
2002-08-28,2644.0
2002-08-29,2646.0
2002-08-30,2649.0
2002-08-31,2651.0
2002-09-01,2651.0
2002-09-02,4827.0
2002-09-03,5668.0
2002-09-04,4156.0
2002-09-05,4160.0
2002-09-06,6209.0
2002-09-07,4763.0
2002-09-08,4771.0
2002-09-09,7055.0
2002-09-10,7552.0
2002-09-11,5620.0
2002-09-12,7723.0
2002-09-13,8254.0
2002-09-14,9580.0
2002-09-15,10473.0
2002-09-16,11438.0
2002-09-17,12427.0
2002-09-18,13237.0
2002-09-19,13947.0
2002-09-20,14364.0
2002-09-21,14480.0
2002-09-22,14287.0
2002-09-23,14766.0
2002-09-24,15334.0
2002-09-25,15893.0
2002-09-26,16316.0
2002-09-27,16851.0
2002-09-28,17321.0
2002-09-29,17571.0
2002-09-30,18974.0
2002-10-01,16793.0
2002-10-02,18439.0
2002-10-03,17168.0
2002-10-04,14565.0
2002-10-05,14565.0
2002-10-06,16518.0
2002-10-07,13643.0
2002-10-08,13643.0
2002-10-09,15639.0
2002-10-10,15106.0
2002-10-11,11552.0
2002-10-12,13419.0
2002-10-13,12623.0
2002-10-14,13087.0
2002-10-15,13727.0
2002-10-16,14102.0
2002-10-17,14444.0
2002-10-18,14443.0
2002-10-19,14389.0
2002-10-20,13857.0
2002-10-21,13911.0
2002-10-22,14120.0
2002-10-23,14285.0
2002-10-24,14137.0
2002-10-25,14004.0
2002-10-26,13511.0
2002-10-27,12762.0
2002-10-28,12865.0
2002-10-29,12816.0
2002-10-30,12550.0
2002-10-31,12546.0
2002-11-01,10071.0
2002-11-02,11367.0
2002-11-03,10073.0
2002-11-04,7654.0
2002-11-05,7654.0
2002-11-06,9192.0
2002-11-07,6619.0
2002-11-08,6619.0
2002-11-09,8192.0
2002-11-10,7067.0
2002-11-11,4540.0
2002-11-12,6093.0
2002-11-13,2624.0
2002-11-14,2675.0
2002-11-15,2712.0
2002-11-16,2751.0
2002-11-17,2786.0
2002-11-18,2819.0
2002-11-19,2857.0
2002-11-20,2883.0
2002-11-21,2926.0
2002-11-22,2956.0
2002-11-23,2995.0
2002-11-24,3024.0
2002-11-25,3052.0
2002-11-26,3086.0
2002-11-27,3110.0
2002-11-28,3132.0
2002-11-29,3160.0
2002-11-30,3187.0
2002-12-01,3187.0
2002-12-02,5241.0
2002-12-03,6534.0
2002-12-04,5459.0
2002-12-05,5460.0
2002-12-06,7910.0
2002-12-07,6638.0
2002-12-08,6639.0
2002-12-09,9163.0
2002-12-10,10446.0
2002-12-11,9082.0
2002-12-12,12131.0
2002-12-13,12585.0
2002-12-14,12962.0
2002-12-15,12977.0
2002-12-16,13384.0
2002-12-17,13867.0
2002-12-18,14121.0
2002-12-19,14015.0
2002-12-20,14038.0
2002-12-21,13820.0
2002-12-22,13278.0
2002-12-23,13103.0
2002-12-24,12655.0
2002-12-25,11476.0
2002-12-26,11139.0
2002-12-27,10930.0
2002-12-28,10255.0
2002-12-29,8611.0
2002-12-30,6904.0
2002-12-31,3919.0
2003-01-01,0.0
