,densite
2002-01-02,1484.0
2002-01-03,2534.0
2002-01-04,1506.0
2002-01-05,1507.0
2002-01-06,3082.0
2002-01-07,2041.0
2002-01-08,2044.0
2002-01-09,3457.0
2002-01-10,3814.0
2002-01-11,2303.0
2002-01-12,3665.0
2002-01-13,2269.0
2002-01-14,2269.0
2002-01-15,2269.0
2002-01-16,2269.0
2002-01-17,2269.0
2002-01-18,2269.0
2002-01-19,2269.0
2002-01-20,2269.0
2002-01-21,2269.0
2002-01-22,2269.0
2002-01-23,2269.0
2002-01-24,2269.0
2002-01-25,2269.0
2002-01-26,2269.0
2002-01-27,2269.0
2002-01-28,2269.0
2002-01-29,2269.0
2002-01-30,2269.0
2002-01-31,2269.0
2002-02-01,2269.0
2002-02-02,4364.0
2002-02-03,5189.0
2002-02-04,3508.0
2002-02-05,3509.0
2002-02-06,5637.0
2002-02-07,3979.0
2002-02-08,3980.0
2002-02-09,6040.0
2002-02-10,6668.0
2002-02-11,4906.0
2002-02-12,6937.0
2002-02-13,7260.0
2002-02-14,8726.0
2002-02-15,10162.0
2002-02-16,10842.0
2002-02-17,11217.0
2002-02-18,12044.0
2002-02-19,12593.0
2002-02-20,13289.0
2002-02-21,13599.0
2002-02-22,13884.0
2002-02-23,14115.0
2002-02-24,14060.0
2002-02-25,14702.0
2002-02-26,14901.0
2002-02-27,15633.0
2002-02-28,16690.0
2002-03-01,13923.0
2002-03-02,15506.0
2002-03-03,14816.0
2002-03-04,11392.0
2002-03-05,11395.0
2002-03-06,13402.0
2002-03-07,10419.0
2002-03-08,10421.0
2002-03-09,12323.0
2002-03-10,11581.0
2002-03-11,9000.0
2002-03-12,10953.0
2002-03-13,10580.0
2002-03-14,11415.0
2002-03-15,12302.0
2002-03-16,12759.0
2002-03-17,12544.0
2002-03-18,12868.0
2002-03-19,13562.0
2002-03-20,13991.0
2002-03-21,13987.0
2002-03-22,14098.0
2002-03-23,13940.0
2002-03-24,13341.0
2002-03-25,13778.0
2002-03-26,13847.0
2002-03-27,14002.0
2002-03-28,13864.0
2002-03-29,13529.0
2002-03-30,13402.0
2002-03-31,12757.0
2002-04-01,10734.0
2002-04-02,12268.0
