semaine,nb_composantes,nb_noeuds,taille_composante_geante,ratio_composante_geante
2010-01-01,2,607,605,0.9967051070840197
2010-01-15,2,623,621,0.9967897271268058
2010-01-29,14,437,398,0.9107551487414187
2010-02-26,5,12,4,0.3333333333333333
2010-03-12,5,14,4,0.2857142857142857
2010-03-26,5,553,545,0.9855334538878843
2010-04-09,2,642,640,0.9968847352024922
2010-04-23,1,636,636,1.0
2010-05-07,4,639,633,0.9906103286384976
2010-05-21,2,642,640,0.9968847352024922
2010-06-04,1,647,647,1.0
2010-06-18,2,647,645,0.9969088098918083
2010-07-02,1,639,639,1.0
2010-07-16,2,633,631,0.9968404423380727
2010-07-30,24,393,334,0.8498727735368957
2010-08-27,9,18,2,0.1111111111111111
2010-09-10,5,11,3,0.2727272727272727
2010-09-24,2,569,567,0.9964850615114236
2010-10-08,1,652,652,1.0
2010-10-22,3,680,675,0.9926470588235294
2010-11-05,2,668,665,0.9955089820359282
2010-11-19,3,680,674,0.9911764705882353
2010-12-03,2,685,682,0.9956204379562044
2010-12-17,1,668,668,1.0
2010-12-31,39,244,96,0.39344262295081966
